基金代码,基金名称,基金公司,到期时间,折价率,剩余时间,每周增幅,每月增幅,综合得分
160926,创业大成,大成基金,2022-07-16,12.712,1.19,1.73%,11.91%,4.7075
160520,弘盈A,博时基金,2022-09-23,1.350,1.38,2.24%,2.12%,2.7700000000000005
501075,科创主题,万家基金,2022-06-12,9.817,1.10,0.93%,7.31%,2.7575
506001,万家科创,万家基金,2022-08-03,11.615,1.24,0.62%,6.58%,2.265
161912,社会责任,万家基金,2022-04-17,7.125,0.94,1.24%,3.71%,2.1675
501079,科创大成,大成基金,2022-07-18,9.169,1.20,0.01%,6.34%,1.595
501046,财通福鑫,财通基金,2022-04-27,6.691,0.97,0.59%,3.87%,1.5575
501085,科创财通,财通基金,2022-07-11,10.752,1.18,0.59%,3.69%,1.5125
501070,广发睿阳,广发基金,2022-01-31,4.255,0.74,0.49%,2.79%,1.1875
160143,创业LOF,南方基金,2022-09-01,12.613,1.32,-0.53%,6.79%,1.1675
501098,科创建信,建信基金,2023-03-26,12.227,1.89,-0.20%,5.18%,1.095
162720,创业广发,广发基金,2022-09-24,13.350,1.38,-0.19%,4.94%,1.0450000000000002
501076,科创基金,鹏华基金,2022-06-10,9.053,1.09,-0.08%,3.08%,0.6900000000000001
161914,万家创业,万家基金,2022-08-14,11.092,1.27,-1.18%,6.67%,0.48750000000000004
501203,易基未来,易方达,2022-03-29,5.015,0.89,-0.42%,2.72%,0.26000000000000006
501073,科创混合,华安基金,2022-06-11,1.921,1.10,-0.07%,0.99%,0.1775
501097,科创国寿,国寿安保,2023-03-26,3.240,1.89,-0.20%,1.51%,0.1775
184801,鹏华前海,鹏华基金,2025-07-06,6.341,4.17,0.00%,0.65%,0.1625
501078,科创配置,广发基金,2022-06-11,10.610,1.10,-0.72%,3.45%,0.14250000000000007
501053,东证目优,东方资管,2024-01-05,1.299,2.67,0.07%,0.03%,0.07750000000000001
169106,东证创优,东方资管,2024-04-08,0.808,2.92,-0.03%,0.06%,-0.015
501064,国泰价值,国泰基金,2022-01-10,-1.002,0.68,-0.26%,0.94%,-0.025000000000000022
166024,中欧恒利,中欧基金,2023-11-28,4.144,2.56,-0.06%,-0.12%,-0.09
168207,中融创业,中融基金,2022-08-21,11.965,1.29,-0.90%,2.54%,-0.265
160526,博时优势,博时基金,2022-06-03,6.737,1.07,-0.68%,1.45%,-0.31750000000000006
501096,科创国联,国联安,2023-03-20,11.983,1.87,-0.89%,1.92%,-0.41000000000000003
160142,南方配售,南方基金,2021-07-05,0.978,0.16,-0.37%,-0.33%,-0.4525
501189,嘉实配售,嘉实基金,2021-07-05,1.348,0.16,-0.42%,-0.55%,-0.5575
161728,招商配售,招商基金,2021-07-05,0.943,0.16,-0.33%,-1.03%,-0.5875
506000,科创板基,南方基金,2023-07-28,13.161,2.23,-0.53%,-0.57%,-0.6725
161131,易基配售,易方达,2021-07-05,1.087,0.16,-0.48%,-0.82%,-0.6849999999999999
501081,科创中欧,中欧基金,2022-06-28,9.224,1.14,-1.00%,0.88%,-0.78
160527,研究优选,博时基金,2023-03-20,9.986,1.87,-0.05%,-3.01%,-0.8025
501186,华夏配售,华夏基金,2021-07-05,1.232,0.16,-0.56%,-1.09%,-0.8325
501207,华夏创新,华夏基金,2022-04-13,5.822,0.93,-1.42%,2.14%,-0.8849999999999999
160726,嘉实瑞享,嘉实基金,2022-08-18,4.268,1.28,-0.41%,-2.72%,-1.09
501092,交银瑞思,交银施罗德,2023-02-21,7.609,1.79,-0.63%,-1.95%,-1.1175
166027,中欧创业,中欧基金,2022-07-16,10.932,1.19,-1.40%,0.96%,-1.16
501200,科创加银,民生加银,2023-05-15,0.002,2.02,-1.49%,0.44%,-1.38
501091,嘉实瑞熙,嘉实基金,2023-01-20,8.596,1.71,-1.49%,0.11%,-1.4625
501063,添富悦享,汇添富,2023-02-11,8.567,1.77,-1.32%,-0.57%,-1.4625000000000001
501083,科创银华,银华基金,2022-07-05,9.400,1.16,-2.31%,3.35%,-1.4725000000000001
166025,中欧远见,中欧基金,2023-05-13,0.781,2.02,-1.56%,0.23%,-1.5025
501038,银华明择,银华基金,2022-03-01,3.676,0.82,-2.54%,3.72%,-1.6099999999999999
169107,东证恒阳,东方资管,2025-02-13,8.704,3.77,-1.61%,-0.01%,-1.6125
501188,添富配售,汇添富,2021-07-05,1.298,0.16,-1.44%,-0.73%,-1.6225
169103,东证睿轩,东方资管,2022-03-09,3.574,0.84,-2.11%,1.83%,-1.6524999999999999
501208,中欧创新,中欧基金,2022-04-09,3.735,0.92,-1.93%,1.07%,-1.6624999999999999
501099,科创平安,平安基金,2023-04-10,7.654,1.93,-1.39%,-1.20%,-1.69
167508,安信价值,安信基金,2022-04-30,4.164,0.98,-1.20%,-2.08%,-1.72
501088,嘉实瑞虹,嘉实基金,2022-09-04,6.834,1.33,-1.62%,-0.58%,-1.7650000000000001
501054,东证睿泽,东方资管,2024-02-24,5.397,2.80,-2.67%,3.19%,-1.8725
501087,交银瑞丰,交银施罗德,2022-09-04,-0.426,1.33,-1.90%,-0.73%,-2.0825
501062,南方瑞合,南方基金,2021-09-06,3.481,0.33,-1.72%,-2.69%,-2.3925
501066,东证恒元,东方资管,2023-11-02,3.708,2.49,-3.10%,2.21%,-2.5475000000000003
501080,科创中金,中金基金,2022-07-11,9.912,1.18,-2.72%,0.32%,-2.64
169102,东证睿阳,东方资管,2022-01-16,3.640,0.70,-3.01%,1.12%,-2.7299999999999995
161837,银华大盘,银华基金,2021-12-16,3.714,0.61,-3.45%,1.41%,-3.0975
501049,东证睿玺,东方资管,2023-11-28,5.898,2.56,-3.33%,0.18%,-3.285
501095,BOCI科创,中银国际,2023-03-12,14.353,1.85,-3.32%,-1.05%,-3.5825
161040,创业富国,富国基金,2022-07-14,12.418,1.19,-4.17%,1.71%,-3.7424999999999997
501093,华夏翔阳,华夏基金,2022-03-06,5.540,0.83,-3.66%,-0.54%,-3.795
161729,招商瑞利,招商基金,2022-07-18,2.456,1.20,-3.92%,0.48%,-3.8
160529,创业博时,博时基金,2022-09-03,13.859,1.33,-5.41%,6.02%,-3.9050000000000002
506002,易基科创,易方达,2022-07-28,10.096,1.23,-4.21%,0.71%,-4.0325
161132,易基科顺,易方达,2021-10-26,-0.268,0.47,-3.91%,-1.52%,-4.29
506003,富国科创,富国基金,2022-07-29,8.581,1.23,-4.76%,1.48%,-4.39
501202,科创华泰,华泰证券,2023-07-17,13.406,2.19,-4.61%,0.63%,-4.452500000000001
501201,科创红土,红土创新,2023-07-23,11.063,2.21,-4.79%,0.32%,-4.71
501205,鹏华创新,鹏华基金,2022-03-30,4.978,0.90,-3.87%,-3.55%,-4.7575
501206,添富创新,汇添富,2022-04-13,4.570,0.93,-4.36%,-3.04%,-5.12
160645,鹏华回报,鹏华基金,2022-06-25,3.536,1.13,-4.79%,-1.81%,-5.2425
501071,泓德丰泽,泓德基金,2022-03-28,3.545,0.89,-4.39%,-3.61%,-5.2924999999999995
506006,添富科创,汇添富,2022-07-28,10.017,1.23,-5.08%,-0.86%,-5.295
501065,经典成长,汇添富,2021-12-05,1.043,0.58,-4.67%,-2.68%,-5.34
160325,华夏创业,华夏基金,2022-07-24,12.060,1.21,-6.03%,2.47%,-5.4125000000000005
501082,科创投资,博时基金,2022-06-27,9.904,1.14,-5.64%,0.82%,-5.435
501077,科创富国,富国基金,2022-06-11,3.969,1.10,-5.10%,-3.04%,-5.859999999999999
506005,科创板BS,博时基金,2023-07-29,15.727,2.23,-6.40%,-1.92%,-6.880000000000001
