基金代码,基金名称,基金公司,到期时间,折价率,剩余时间,每周增幅,每月增幅,综合得分
501201,科创红土,红土创新,2023-07-23,-23.068,1.96,5.59,24.38,11.68
168207,中融创业,中融基金,2022-08-21,13.226,1.04,5.85,13.85,9.31
161912,社会责任,万家基金,2022-04-17,6.880,0.70,1.99,16.5,6.12
501079,科创大成,大成基金,2022-07-18,9.278,0.95,3.57,7.63,5.48
501078,科创配置,广发基金,2022-06-11,9.013,0.85,1.11,16.7,5.29
501095,BOCI科创,中银国际,2023-03-12,17.417,1.60,3.2,7.9,5.18
161040,创业富国,富国基金,2022-07-14,9.025,0.94,1.96,12.82,5.17
160143,创业LOF,南方基金,2022-09-01,14.607,1.07,3.24,6.43,4.85
501046,财通福鑫,财通基金,2022-04-27,6.198,0.72,1.27,14.33,4.85
501085,科创财通,财通基金,2022-07-11,12.107,0.93,1.6,12.28,4.67
162720,创业广发,广发基金,2022-09-24,13.539,1.13,1.06,14.45,4.67
160926,创业大成,大成基金,2022-07-16,11.831,0.94,2.94,6.56,4.58
501202,科创华泰,华泰证券,2023-07-17,17.375,1.95,2.65,7.08,4.42
166024,中欧恒利,中欧基金,2023-11-28,7.602,2.31,4.23,0.63,4.39
501064,国泰价值,国泰基金,2022-01-10,2.535,0.43,1.59,11.16,4.38
169102,东证睿阳,东方资管,2022-01-16,3.936,0.45,2.47,6.01,3.97
501075,科创主题,万家基金,2022-06-12,8.518,0.85,1.48,8.28,3.55
160527,研究优选,博时基金,2023-03-20,12.153,1.62,2.0,5.7,3.42
501203,易基未来,易方达,2022-03-29,6.163,0.64,2.01,5.3,3.33
501207,华夏创新,华夏基金,2022-04-13,6.545,0.69,2.38,2.59,3.03
501038,银华明择,银华基金,2022-03-01,3.735,0.57,4.0,-4.58,2.85
163418,兴全合兴,兴全基金,2023-01-12,6.200,1.44,1.74,4.0,2.74
160529,创业博时,博时基金,2022-09-03,13.066,1.08,1.77,3.62,2.67
501208,中欧创新,中欧基金,2022-04-09,6.473,0.67,1.85,3.05,2.61
501062,南方瑞合,南方基金,2021-09-06,1.647,0.09,1.78,3.05,2.54
160325,华夏创业,华夏基金,2022-07-24,10.925,0.96,1.27,5.0,2.52
166027,中欧创业,中欧基金,2022-07-16,10.629,0.94,1.79,1.84,2.25
169107,东证恒阳,东方资管,2025-02-13,11.440,3.53,2.78,-2.14,2.24
501097,科创国寿,国寿安保,2023-03-26,5.071,1.64,0.13,7.3,1.96
501091,嘉实瑞熙,嘉实基金,2023-01-20,8.752,1.46,2.54,-2.33,1.96
501080,科创中金,中金基金,2022-07-11,10.593,0.93,1.95,-0.46,1.83
501092,交银瑞思,交银施罗德,2023-02-21,9.760,1.54,2.07,-1.74,1.63
501066,东证恒元,东方资管,2023-11-02,9.511,2.24,3.31,-6.79,1.61
501088,嘉实瑞虹,嘉实基金,2022-09-04,7.542,1.08,2.3,-2.9,1.57
160526,博时优势,博时基金,2022-06-03,7.036,0.82,1.48,0.36,1.57
161729,招商瑞利,招商基金,2022-07-18,4.403,0.95,0.3,4.95,1.54
506002,易基科创,易方达,2022-07-28,12.551,0.97,-1.27,11.21,1.53
