公司名称,股票代码,顶格申购金额,发行价格,收盘价,网上中签率,一签获利,上市日期,inc,
N财达,600906,1500000,3.76,5.41,0.13805,1650,2021/5/7,227.7825,
N蕾奥,300989,150000,51.62,76.3,0.0114,15080,2021/5/7,171.912,
联测科技,688113,45000,19.14,67.36,0.02642,19430,2021/5/6,513.3406,
中际联合,605305,110000,37.94,54.63,0.02348,14100,2021/5/6,331.068,
浙江自然,605080,100000,31.16,44.87,0.02362,18200,2021/5/6,429.884,
佳禾食品,605300,120000,11.25,16.2,0.03239,8350,2021/4/30,270.4565,
华生科技,605180,100000,22.38,32.23,0.02351,16620,2021/4/30,390.7362,
C志特,300986,80000,14.79,48.1,0.01601,14700,2021/4/30,235.347,
C致远,300985,95000,24.9,44.98,0.01609,10415,2021/4/29,167.57735,
炬申股份,1202,125000,15.09,21.73,0.02108,6915,2021/4/29,145.7682,
正弦电气,688395,50000,15.95,35.82,0.02804,10875,2021/4/29,304.935,
瑞华泰,688323,110000,5.97,27.12,0.02894,9270,2021/4/28,268.2738,
东瑞股份,1201,125000,63.38,91.27,0.02243,11035,2021/4/28,247.51505,
新益昌,688383,70000,19.58,65.5,0.02732,21620,2021/4/28,590.6584,
苏文电能,300982,95000,15.83,35.98,0.01812,12450,2021/4/27,225.594,
味知香,605089,100000,28.53,41.08,0.02384,37640,2021/4/27,897.3376,
中红医疗,300981,115000,48.59,120.9,0.01889,41850,2021/4/27,790.5465,
罗曼股份,605289,80000,27.27,39.27,0.02374,15870,2021/4/26,376.7538,
东箭科技,300978,80000,8.42,30.18,0.02002,10910,2021/4/26,218.4182,
华利集团,300979,160000,33.22,100,0.02478,27180,2021/4/26,673.5204,
华恒生物,688639,65000,23.16,35.25,0.02944,6450,2021/4/22,189.888,
行动教育,605098,80000,27.58,39.72,0.02258,21600,2021/4/21,487.728,
商络电子,300975,85000,5.48,30.12,0.02021,11360,2021/4/21,229.5856,
信安世纪,688201,55000,26.78,41.17,0.02932,8605,2021/4/21,252.2986,
百龙创园,605016,120000,14.62,21.05,0.02684,18260,2021/4/21,490.0984,
祥源新材,300980,175000,32.77,54.54,0.01268,12850,2021/4/21,162.938,
霍莱沃,688682,20000,45.72,103.51,0.03053,38500,2021/4/20,1175.405,
德业股份,605117,170000,32.74,47.15,0.02884,30410,2021/4/20,877.0244,
